scorer,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav
bodyparts,snout,snout,leftear,leftear,rightear,rightear,tailbase,tailbase
coords,x,y,x,y,x,y,x,y
labeled-data/m5s1/img0000.png,303.585,526.151,335.283,532.189,299.057,502.0,441.69800000000004,300.491
labeled-data/m5s1/img0001.png,270.377,489.925,307.358,504.264,271.887,464.264,473.39599999999996,330.67900000000003
labeled-data/m5s1/img0002.png,259.811,378.226,269.623,431.05699999999996,265.849,376.717,505.094,375.208
labeled-data/m5s1/img0003.png,242.453,355.585,260.566,407.66,259.057,353.32099999999997,526.981,422.0
labeled-data/m5s1/img0004.png,243.208,373.69800000000004,258.302,409.17,252.264,362.37699999999995,517.17,422.755
labeled-data/m5s1/img0005.png,227.359,411.434,246.981,435.585,234.90599999999998,391.811,485.472,413.69800000000004
labeled-data/m5s1/img0006.png,194.15099999999998,394.07599999999996,223.585,433.32099999999997,216.792,374.45300000000003,464.34,402.37699999999995
labeled-data/m5s1/img0007.png,196.415,348.792,225.09400000000002,403.88699999999994,245.472,342.755,476.415,443.13199999999995
labeled-data/m5s1/img0008.png,160.94299999999998,336.717,191.132,391.811,216.792,324.642,440.189,461.245
labeled-data/m5s1/img0009.png,150.377,380.491,189.623,425.774,196.415,356.34,448.491,430.30199999999996
labeled-data/m5s1/img0010.png,145.094,448.415,197.925,460.491,176.792,397.849,429.62300000000005,387.283
labeled-data/m5s1/img0011.png,152.642,484.642,200.94299999999998,488.415,163.208,432.566,397.17,371.434
labeled-data/m5s1/img0012.png,181.321,505.774,219.81099999999998,506.528,184.34,465.774,376.038,344.264
labeled-data/m5s1/img0013.png,151.887,522.377,218.30200000000002,523.132,175.283,470.30199999999996,364.717,352.566
labeled-data/m5s1/img0014.png,125.47200000000001,507.283,196.415,520.868,161.69799999999998,455.962,385.849,357.849
labeled-data/m5s1/img0015.png,104.34,471.05699999999996,179.81099999999998,497.472,156.415,428.792,406.981,369.17
labeled-data/m5s1/img0016.png,83.962,482.37699999999995,162.453,504.264,135.283,440.11300000000006,405.472,367.66
labeled-data/m5s1/img0017.png,61.321000000000005,497.472,142.83,516.34,114.15100000000001,443.88699999999994,395.66,378.981
labeled-data/m5s1/img0018.png,50.0,495.208,128.491,514.83,102.83,446.151,392.642,393.32099999999997
labeled-data/m5s1/img0019.png,65.84899999999999,496.717,145.849,511.05699999999996,114.906,444.642,403.962,388.038
labeled-data/m5s1/img0020.png,208.49099999999999,426.528,243.96200000000002,452.189,225.84900000000002,406.151,503.585,387.283
labeled-data/m5s1/img0021.png,227.358,408.415,239.43400000000003,434.07599999999996,236.415,395.585,499.811,408.415
labeled-data/m5s1/img0022.png,210.755,397.849,218.30200000000002,424.264,217.547,385.019,461.32099999999997,422.755
labeled-data/m5s1/img0023.png,283.962,342.755,250.0,401.62300000000005,296.038,351.811,499.811,412.189
labeled-data/m5s1/img0024.png,302.075,307.283,273.39599999999996,383.509,309.623,348.792,521.698,421.245
labeled-data/m5s1/img0025.png,335.283,336.717,264.34,375.962,307.358,338.226,505.094,412.94300000000004
labeled-data/m5s1/img0026.png,283.20799999999997,389.54699999999997,280.943,404.642,290.755,381.245,499.05699999999996,395.585
labeled-data/m5s1/img0027.png,289.245,385.019,285.472,406.151,296.79200000000003,375.208,505.849,403.88699999999994
labeled-data/m5s1/img0028.png,288.491,390.30199999999996,285.472,412.94300000000004,303.585,377.472,507.358,409.17
labeled-data/m5s1/img0029.png,297.547,388.792,290.755,412.94300000000004,308.868,378.981,502.83,404.642
labeled-data/m5s1/img0030.png,296.79200000000003,388.792,292.264,409.17,311.132,374.45300000000003,502.83,404.642
labeled-data/m5s1/img0031.png,297.547,393.32099999999997,291.509,412.94300000000004,309.623,372.94300000000004,506.60400000000004,405.39599999999996
labeled-data/m5s1/img0032.png,294.528,394.83,293.019,420.491,305.849,381.245,508.11300000000006,403.13199999999995
labeled-data/m5s1/img0033.png,299.811,382.755,293.774,403.13199999999995,308.868,367.66,502.83,407.66
labeled-data/m5s1/img0034.png,304.34,314.83,294.528,377.472,333.019,332.94300000000004,515.66,429.54699999999997
labeled-data/m5s1/img0035.png,317.925,283.132,299.057,342.0,354.151,313.32099999999997,521.698,466.528
labeled-data/m5s1/img0036.png,398.67900000000003,268.038,357.17,327.66,428.86800000000005,331.434,476.415,519.359
labeled-data/m5s1/img0037.png,413.019,262.0,368.491,305.774,437.17,316.34,456.792,530.679
labeled-data/m5s1/img0038.png,457.54699999999997,268.79200000000003,400.189,290.67900000000003,463.585,323.132,438.67900000000003,548.7919999999999
labeled-data/m5s1/img0039.png,480.189,267.283,415.283,314.07599999999996,482.45300000000003,344.264,380.566,562.377
labeled-data/m5s1/img0040.png,486.226,265.774,425.849,305.774,490.0,339.736,369.245,561.623
labeled-data/m5s1/img0041.png,484.717,264.264,423.585,308.79200000000003,488.491,338.226,373.774,557.094
labeled-data/m5s1/img0042.png,482.264,264.151,421.88699999999994,305.66,488.30199999999996,338.11300000000006,372.83,560.0
labeled-data/m5s1/img0043.png,482.264,261.887,422.642,309.434,489.811,338.11300000000006,372.83,557.736
labeled-data/m5s1/img0044.png,481.509,261.887,425.66,307.17,489.05699999999996,335.094,373.585,556.226
labeled-data/m5s1/img0045.png,411.32099999999997,252.075,399.245,303.39599999999996,457.358,302.642,389.434,548.679
labeled-data/m5s1/img0046.png,330.566,252.83,331.32099999999997,307.17,387.925,282.264,481.509,547.925
labeled-data/m5s1/img0047.png,284.528,280.0,295.094,327.547,347.925,282.264,512.453,519.245
labeled-data/m5s1/img0048.png,298.868,267.925,295.849,310.943,350.189,280.0,518.491,503.39599999999996
labeled-data/m5s1/img0049.png,370.566,246.792,338.11300000000006,276.226,395.472,273.20799999999997,486.038,519.245
labeled-data/m5s1/img0050.png,486.038,292.83,461.13199999999995,279.245,488.30199999999996,316.981,416.60400000000004,529.811
labeled-data/m5s1/img0051.png,529.057,308.67900000000003,502.642,294.34,525.283,338.86800000000005,350.94300000000004,520.0
labeled-data/m5s1/img0052.png,556.226,353.208,536.604,329.05699999999996,550.189,375.849,305.66,468.67900000000003
labeled-data/m5s1/img0053.png,564.528,376.60400000000004,544.906,356.981,553.2080000000001,399.245,297.358,421.88699999999994
labeled-data/m5s1/img0054.png,573.585,377.358,556.226,353.208,561.509,395.472,314.717,413.585
labeled-data/m5s1/img0055.png,562.264,350.189,535.849,331.32099999999997,550.189,382.642,316.981,426.415
labeled-data/m5s1/img0056.png,531.321,298.868,501.13199999999995,300.377,532.075,350.189,320.0,453.585
labeled-data/m5s1/img0057.png,505.66,276.226,473.208,285.283,505.66,329.811,335.094,464.151
labeled-data/m5s1/img0058.png,452.83,246.03799999999998,443.774,274.717,483.774,290.566,363.019,486.792
labeled-data/m5s1/img0059.png,316.226,281.509,348.67900000000003,327.547,384.151,279.245,449.05699999999996,512.453
labeled-data/m5s1/img0060.png,268.67900000000003,321.509,321.509,357.736,340.37699999999995,296.60400000000004,540.377,446.038
labeled-data/m5s1/img0061.png,248.30200000000002,290.566,297.358,322.264,318.491,268.67900000000003,563.774,357.736
labeled-data/m5s1/img0062.png,243.019,265.66,277.736,306.415,291.32099999999997,240.0,560.755,316.981
labeled-data/m5s1/img0063.png,273.20799999999997,197.736,301.887,226.415,319.245,192.453,543.396,310.189
labeled-data/m5s1/img0064.png,405.283,166.792,372.075,164.528,419.62300000000005,178.868,501.88699999999994,369.05699999999996
labeled-data/m5s1/img0065.png,465.66,167.547,442.264,163.019,474.717,190.94299999999998,425.66,409.811
